የካሳ ; [16, 7]
አልጋው ; [57, 1]
በልተህ ; [123, 1]
የማታጥበው ; [19, 19]
ለምንድን ; [240, 240, 122, 122]
የሚኖሩ ; [380, 380]
ባይኖረኝም ; [380, 380]
በድንግልና ; [10, 4]
እንኖራለን ; [380, 380]
መማል ; [5]
አለባቸው ; [10430, 10430, 1849, 1849, 2, 2, 1]
እኖራለሁ ; [380, 380]
ይገዛል ; [79, 79]
አጣጥፎ ; [7, 7]
ሰባሰበና ; [2, 2]
ለበላይ ; [1752]
የግድ ; [71, 6]
አንቀጥል ; [1026, 1026]
አልገዙም ; [79, 79]
ብትውል ; [474]
እርኩስ ; [26, 5, 5]
መንፈስ ; [404]
የያዘው ; [1477, 1477, 1]
አስቸገረን ; [63, 63]
የራሷን ; [497, 35]
መታች ; [37, 37, 1]
ተረዳ ; [88, 88, 88, 88]
አስፈላ ; [17, 17, 17, 17, 17, 17]
በሄደበት ; [1644, 1644]
መቼም ; [389, 31]
እራቱን ; [30, 10]
ሳይበላ ; [123, 123]
አይተኛ ; [125, 125]
ቀለቡን ; [21, 5, 5]
ነቅታ ; [46, 46]
አልቻለችም ; [5530, 5530]
ብታቀብለኝ ; [1]
አንስታ ; [50, 50, 40, 40]
ጠበቃ ; [357, 61]
አስፈላጊ ; [436]
ብትመርጥ ; [314]
እገዛዋለሁ ; [79, 79]
ባዶ ; [26, 3]
ተሻለ ; [1, 1]
የራሴ ; [497, 35]
ይኖረኛል ; [380, 380]
በብዙ ; [779, 779]
ካለብኝ ; [10430, 10430, 1849, 1849]
የምበላው ; [123, 123, 123, 123]
መጨረስዋ ; [32]
በሙሉ ; [1221, 1221]
ስላላክ ; [343, 343, 50, 1]
ካልሄደ ; [1644, 1644]
አስተኙት ; [125, 125]
አሳየኝ ; [1045, 1045, 1045]
ገበታ ; [23]
እንዳደረግህ ; [1, 1]
አልሄደም ; [1644, 1644]
መታመም ; [11, 1]
ወራት ; [641, 23, 7, 1]
ያሸንፍ ; [1]
የሰረቀውን ; [32, 32]
ይበላልም ; [123, 123]
ይጠጣልም ; [72, 72]
ተሰባሪ ; [3]
መዝሙር ; [152]
አባትህ ; [448, 2]
ካሉ ; [10430, 10430, 1849, 1849, 1]
ከስቶ ; [5, 2]
ምክርን ; [196]
መታው ; [37, 37]
ሊወጋ ; [19, 19]
አልደፈረም ; [51, 51]
ለመፃፍ ; [1, 1]
ተበሳጩ ; [1, 1]
ካልመጣህ ; [1280, 1280]
አይመጣም ; [1280, 1280, 1280, 1280]
እንዳገኝ ; [6, 1]
እንደምንም ; [2774, 1]
ከዚያ ; [2585, 1]
አውጪ ; [805, 12]
አባቷ ; [448, 2, 2, 2]
ደራሽ ; [5, 5, 1]
ሰፈሩ ; [119, 100]
ፈተና ; [324, 57, 31]
ማጥናት ; [10, 1]
